subject_id,label,center_slice_index,slice_offset,slice_index,fused_path
SYN_001,0,8,-2,6,synthetic/SYN_001/slice_006.png
SYN_001,0,8,-1,7,synthetic/SYN_001/slice_007.png
SYN_001,0,8,0,8,synthetic/SYN_001/slice_008.png
SYN_001,0,8,1,9,synthetic/SYN_001/slice_009.png
SYN_001,0,8,2,10,synthetic/SYN_001/slice_010.png
SYN_002,0,12,-2,10,synthetic/SYN_002/slice_010.png
SYN_002,0,12,-1,11,synthetic/SYN_002/slice_011.png
SYN_002,0,12,0,12,synthetic/SYN_002/slice_012.png
SYN_002,0,12,1,13,synthetic/SYN_002/slice_013.png
SYN_002,0,12,2,14,synthetic/SYN_002/slice_014.png
SYN_003,0,5,-2,3,synthetic/SYN_003/slice_003.png
SYN_003,0,5,-1,4,synthetic/SYN_003/slice_004.png
SYN_003,0,5,0,5,synthetic/SYN_003/slice_005.png
SYN_003,0,5,1,6,synthetic/SYN_003/slice_006.png
SYN_003,0,5,2,7,synthetic/SYN_003/slice_007.png
SYN_004,0,15,-2,13,synthetic/SYN_004/slice_013.png
SYN_004,0,15,-1,14,synthetic/SYN_004/slice_014.png
SYN_004,0,15,0,15,synthetic/SYN_004/slice_015.png
SYN_004,0,15,1,16,synthetic/SYN_004/slice_016.png
SYN_004,0,15,2,17,synthetic/SYN_004/slice_017.png
SYN_005,1,9,-2,7,synthetic/SYN_005/slice_007.png
SYN_005,1,9,-1,8,synthetic/SYN_005/slice_008.png
SYN_005,1,9,0,9,synthetic/SYN_005/slice_009.png
SYN_005,1,9,1,10,synthetic/SYN_005/slice_010.png
SYN_005,1,9,2,11,synthetic/SYN_005/slice_011.png
SYN_006,1,11,-2,9,synthetic/SYN_006/slice_009.png
SYN_006,1,11,-1,10,synthetic/SYN_006/slice_010.png
SYN_006,1,11,0,11,synthetic/SYN_006/slice_011.png
SYN_006,1,11,1,12,synthetic/SYN_006/slice_012.png
SYN_006,1,11,2,13,synthetic/SYN_006/slice_013.png
SYN_007,1,6,-2,4,synthetic/SYN_007/slice_004.png
SYN_007,1,6,-1,5,synthetic/SYN_007/slice_005.png
SYN_007,1,6,0,6,synthetic/SYN_007/slice_006.png
SYN_007,1,6,1,7,synthetic/SYN_007/slice_007.png
SYN_007,1,6,2,8,synthetic/SYN_007/slice_008.png
SYN_008,1,14,-2,12,synthetic/SYN_008/slice_012.png
SYN_008,1,14,-1,13,synthetic/SYN_008/slice_013.png
SYN_008,1,14,0,14,synthetic/SYN_008/slice_014.png
SYN_008,1,14,1,15,synthetic/SYN_008/slice_015.png
SYN_008,1,14,2,16,synthetic/SYN_008/slice_016.png
